0			5,37047229604015E-12	-7,74545672044269E-9	-4,39405738461573E-8	-1,53528901591926E-7	-4,58643228284927E-7	-1,19881929094845E-6	-1,72625323102693E-6	-3,00577517009515E-6	-6,18328931523138E-6	-7,50513618186233E-6	-1,09084721771069E-5
0,159999996423721	5,855200213567E-10	-1,64244418066062E-9	-2,26658638524668E-8	-1,02690961512053E-7	-2,85012390577322E-7	-8,39297854327015E-7	-1,34390757011715E-6	-2,38272082242474E-6	-4,69356155008427E-6	-6,09625976721873E-6	-8,9385948740528E-6
0,324999988079071	1,1719596404447E-9	4,0112904109435E-9	-5,96689853082921E-9	-5,41909130902241E-8	-1,80396497739821E-7	-5,72255714814673E-7	-9,71971985563869E-7	-1,77363244802109E-6	-2,96201937999285E-6	-4,71403518531588E-6	-7,00010104992543E-6
0,485000014305115	1,6813472836219E-9	8,22649326437386E-9	9,31508736812248E-9	-9,13127617963028E-9	-8,29361681553564E-8	-2,72729948846973E-7	-6,22091761215415E-7	-1,19853575597517E-6	-2,07510197469674E-6	-3,09627193928463E-6	-5,15599231221131E-6
0,644999980926514	2,22952856177017E-9	1,29636550383339E-8	2,40081785563007E-8	3,1449872039957E-8	1,37665692179212E-8	-8,33440836345289E-8	-2,35020394256935E-7	-6,42461088773416E-7	-1,21509799555497E-6	-1,87457499123411E-6	-3,0155504191498E-6
0,810000002384186	2,81987588834909E-9	1,74681016318345E-8	3,86272738239768E-8	6,82457397260805E-8	1,01674032748633E-7	1,05213757706224E-7	8,97178153991263E-8	3,8663451107368E-8	-2,2664428911412E-7	-6,34510968211544E-7	-1,25689484775648E-6
0,970000028610229	3,34114202971136E-9	2,15695798999604E-8	4,97817111977383E-8	1,04057541250313E-7	1,81950227329253E-7	2,79584298823465E-7	3,92036810126228E-7	5,54043083411671E-7	6,24025517481641E-7	5,32080775883514E-7	6,66682183236844E-7
1,12999999523163	3,9040783939015E-9	2,54546463906991E-8	6,25247764673986E-8	1,38490392487256E-7	2,59540229308186E-7	4,4797141640629E-7	6,93054687417316E-7	1,03618026514596E-6	1,37572112635098E-6	1,67559528563288E-6	2,24389373215672E-6
1,29499995708466	4,51815074242745E-9	2,92817734504069E-8	7,49259498888932E-8	1,72361495742734E-7	3,35982718979722E-7	6,06822823101538E-7	9,78042407950852E-7	1,49920572312112E-6	2,12551003642147E-6	2,8174176804896E-6	3,82309326596442E-6
1,45500004291534	5,07682962336276E-9	3,28322897757971E-8	8,66253557774144E-8	2,04336302545016E-7	4,08623208159042E-7	7,5909503038929E-7	1,25035091969039E-6	1,94318749890954E-6	2,84507291326008E-6	3,91583853343036E-6	5,37409687240142E-6
1,61500000953674	5,58994184274297E-9	3,62546757060045E-8	9,79524514832519E-8	2,35186689678812E-7	4,78908589229832E-7	9,06691980162577E-7	1,50572543589078E-6	2,37766266764083E-6	3,54958001480554E-6	4,99102725370904E-6	6,85684608470183E-6
